Date,Open,High,Low,Close,Adj Close,Volume
2004-02-16,10566.019531,10617.700195,10534.410156,10548.719727,10548.719727,66100000
2004-02-17,10556.179688,10721.309570,10529.259766,10701.129883,10701.129883,81500000
2004-02-18,10759.480469,10798.150391,10676.809570,10676.809570,10676.809570,67800000
2004-02-19,10745.400391,10813.059570,10723.429688,10753.799805,10753.799805,63700000
2004-02-20,10743.799805,10765.790039,10676.209961,10720.690430,10720.690430,55800000
2004-02-23,10745.049805,10893.429688,10736.440430,10868.959961,10868.959961,65000000
2004-02-24,10821.969727,10856.559570,10629.719727,10644.129883,10644.129883,61800000
2004-02-25,10626.639648,10727.469727,10617.860352,10658.730469,10658.730469,55500000
2004-02-26,10734.330078,10815.290039,10690.950195,10815.290039,10815.290039,53600000
2004-02-27,10852.750000,11069.280273,10851.769531,11041.919922,11041.919922,86500000
2004-03-01,11112.679688,11329.000000,11096.679688,11271.120117,11271.120117,106900000
2004-03-02,11344.830078,11386.480469,11282.490234,11361.509766,11361.509766,103100000
2004-03-03,11365.719727,11430.009766,11320.000000,11351.919922,11351.919922,119700000
2004-03-04,11341.980469,11480.839844,11336.969727,11401.790039,11401.790039,141500000
2004-03-05,11476.490234,11537.290039,11411.660156,11537.290039,11537.290039,121700000
2004-03-08,11578.019531,11643.370117,11502.860352,11502.860352,11502.860352,129000000
2004-03-09,11460.599609,11532.040039,11439.040039,11532.040039,11532.040039,90900000
2004-03-10,11490.259766,11492.570313,11353.900391,11433.240234,11433.240234,98300000
2004-03-11,11310.150391,11354.959961,11237.040039,11297.040039,11297.040039,118000000
2004-03-12,11163.580078,11191.450195,11045.940430,11162.750000,11162.750000,169400000
2004-03-15,11284.349609,11348.400391,11278.049805,11317.900391,11317.900391,97900000
2004-03-16,11253.429688,11311.070313,11236.349609,11242.290039,11242.290039,97800000
2004-03-17,11297.459961,11478.349609,11297.459961,11436.860352,11436.860352,92700000
2004-03-18,11571.360352,11647.709961,11452.389648,11484.280273,11484.280273,121200000
2004-03-19,11416.040039,11487.730469,11364.360352,11418.509766,11418.509766,73800000
2004-03-22,11332.240234,11351.709961,11284.839844,11318.509766,11318.509766,74900000
2004-03-23,11200.830078,11327.620117,11071.660156,11281.089844,11281.089844,93000000
2004-03-24,11295.969727,11384.690430,11234.700195,11364.990234,11364.990234,122300000
2004-03-25,11431.610352,11530.910156,11425.580078,11530.910156,11530.910156,123900000
2004-03-26,11619.480469,11782.179688,11611.540039,11770.650391,11770.650391,107600000
2004-03-29,11775.459961,11843.339844,11672.919922,11718.240234,11718.240234,82300000
2004-03-30,11824.830078,11869.000000,11677.200195,11693.679688,11693.679688,70700000
2004-03-31,11716.549805,11783.830078,11592.830078,11715.389648,11715.389648,72700000
2004-04-01,11756.160156,11813.700195,11648.480469,11683.419922,11683.419922,100000000
2004-04-02,11726.870117,11843.929688,11715.410156,11815.950195,11815.950195,88900000
2004-04-05,11949.309570,12003.919922,11934.580078,11958.320313,11958.320313,104300000
